PIN,SBL,OBJECTID,Shape__Area,Shape__Length
103.00-2-26,10300000020260000000,342,159917.953125,1895.3023332398
103.00-2-27.11,10300000020270110000,343,137782.25,1522.86129870007
103.00-2-27.12,10300000020270120000,344,169349.80078125,1763.76918638366
103.00-2-27.2,10300000020270200000,345,32680.8359375,962.487599579947
103.00-2-27.3,10300000020270300000,346,42221.38671875,1070.77896216018
103.00-2-28,10300000020280000000,347,133117.12890625,1559.33555032257
103.00-2-3.111,10300000020031110000,348,952106.5234375,7677.64981095573
103.00-2-3.112,10300000020031120000,349,335136.28515625,2541.02406652277
103.00-2-3.12,10300000020030120000,350,18162.4765625,735.793288201073
103.00-2-3.13,10300000020030130000,351,7254.7265625,372.289643288307
103.00-2-3.2,10300000020030200000,352,499662.15234375,3816.23931684453
103.00-2-3.3,10300000020030300000,353,3330.6171875,231.460423550675
103.00-2-3.4,10300000020030400000,354,51257.9453125,1253.6568750566
103.00-2-4.1,10300000020040100000,355,75286.55859375,1298.36382310772
103.00-2-4.21,10300000020040210000,356,3085.57421875,250.927800503985
103.00-2-4.22,10300000020040220000,357,7098.55859375,439.300324394585
103.00-2-5,10300000020050000000,358,810.33203125,115.160543329862
103.00-2-6,10300000020060000000,359,7313.82421875,360.231734252556
103.00-2-7,10300000020070000000,360,37051.11328125,990.222144176507
103.00-2-8.1,10300000020080100000,361,788286.22265625,7573.8144490294
103.00-2-8.2,10300000020080200000,362,32046.86328125,994.754737205191
103.00-2-9,10300000020090000000,363,75388.93359375,1805.20445120093
104.00-1-1.11,10400000010010110000,364,68905.453125,1228.9326483471
104.00-1-1.12,10400000010010120000,365,82834.15625,1155.3925209564
104.00-1-1.131,10400000010011310000,366,122820.0390625,1522.49379694563
104.00-1-1.132,10400000010011320000,367,2723.80078125,255.731987810405
104.00-1-1.141,10400000010011410000,368,32739.203125,760.765207802347
104.00-1-1.142,10400000010011420000,369,11755.05078125,471.102885406825
104.00-1-1.15,10400000010010150000,370,9745.0078125,531.11210609879
104.00-1-1.2,10400000010010200000,371,179319.5390625,1769.44735835718
